title,platform,date
Clubhouse Games: 51 Worldwide Classics,Switch,5/6/2020 0:00
Xenoblade Chronicles: Definitive Edition,Switch,29/5/2020 0:00
Arcade Archives: Vs. Wrecking Crew,Switch,1/5/2020 0:00
Marvel Ultimate Alliance 3: The Black Order - Expansion 3 - Fantastic Four: Shadow of Doom,Switch,26/3/2020 0:00
Good Job!,Switch,26/3/2020 0:00
Animal Crossing: New Horizons,Switch,20/3/2020 0:00
Pokemon Mystery Dungeon: Rescue Team DX,Switch,6/3/2020 0:00
Luigi's Mansion 3: Multiplayer Pack 1 & 2,Switch,4/3/2020 0:00
Fire Emblem: Three Houses - Side Story: Cindered Shadows,Switch,13/2/2020 0:00
Pokemon HOME,Switch,11/2/2020 0:00
Super Smash Bros. Ultimate: Byleth,Switch,28/1/2020 0:00
Tokyo Mirage Sessions #FE Encore,Switch,17/1/2020 0:00
Dr. Kawashima's Brain Training for Nintendo Switch,Switch,3/1/2020 0:00
Arcade Archives: Vs. Balloon Fight,Switch,27/12/2019 0:00
Marvel Ultimate Alliance 3: The Black Order - Expansion 2: Rise of the Phoenix,Switch,23/12/2019 0:00
Pokemon Shield,Switch,15/11/2019 0:00
Pokemon Sword,Switch,15/11/2019 0:00
Pokemon Sword / Shield Dual Pack,Switch,15/11/2019 0:00
Layton's Mystery Journey: Katrielle and The Millionaires' Conspiracy - Deluxe Edition,Switch,8/11/2019 0:00
The Stretchers,Switch,8/11/2019 0:00
Super Smash Bros. Ultimate: Terry Bogard,Switch,6/11/2019 0:00
Luigi's Mansion 3,Switch,31/10/2019 0:00
Ring Fit Adventure,Switch,18/10/2019 0:00
Little Town Hero,Switch,16/10/2019 0:00
Marvel Ultimate Alliance 3: The Black Order - Expansion 1: Curse of the Vampire,Switch,30/9/2019 0:00
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,Switch,27/9/2019 0:00
The Legend of Zelda: Link's Awakening,Switch,20/9/2019 0:00
Daemon X Machina,Switch,13/9/2019 0:00
Super Smash Bros. Ultimate: Banjo & Kazooie,Switch,4/9/2019 0:00
Super Kirby Clash,Switch,4/9/2019 0:00
Arcade Archives: Pinball,Switch,30/8/2019 0:00
Astral Chain,Switch,30/8/2019 0:00
Super Smash Bros. Ultimate: Hero,Switch,30/7/2019 0:00
Fire Emblem: Three Houses,Switch,26/7/2019 0:00
Marvel Ultimate Alliance 3: The Black Order,Switch,19/7/2019 0:00
Arcade Archives: Clu Clu Land,Switch,28/6/2019 0:00
Super Mario Maker 2,Switch,28/6/2019 0:00
Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda,Switch,13/6/2019 0:00
Nintendo Labo: Toycon 04 VR Kit,Switch,12/5/2019 0:00
Tetris 99: Big Block,Switch,10/5/2019 0:00
BoxBoy! + BoxGirl!,Switch,26/4/2019 0:00
Super Smash Bros. Ultimate: Joker,Switch,17/4/2019 0:00
Yoshi's Crafted World,Switch,28/3/2019 0:00
Captain Toad: Treasure Tracker - Special Episode,Switch,14/3/2019 0:00
Arcade Archives: Vs. Ice Climber,Switch,22/2/2019 0:00
Tetris 99,Switch,13/2/2019 0:00
Daemon X Machina: Prototype Missions,Switch,13/2/2019 0:00
Super Smash Bros. Ultimate: Piranha Plant,Switch,29/1/2019 0:00
Travis Strikes Again: No More Heroes,Switch,18/1/2019 0:00
New Super Mario Bros. U Deluxe,Switch,11/1/2019 0:00
Fitness Boxing,Switch,4/1/2019 0:00
Super Smash Bros. Ultimate,Switch,7/12/2018 0:00
"Pokemon: Let's Go, Eevee!",Switch,16/11/2018 0:00
"Pokemon: Let's Go, Pikachu!",Switch,16/11/2018 0:00
Arcade Archives: Urban Champion,Switch,9/11/2018 0:00
The World Ends with You: Final Remix,Switch,12/10/2018 0:00
Super Mario Party,Switch,5/10/2018 0:00
Arcade Archives: Excitebike,Switch,21/9/2018 0:00
Xenoblade Chronicles 2: Torna ~ The Golden Country,Switch,14/9/2018 0:00
Nintendo Labo: Toycon 03 Vehicle Kit,Switch,14/9/2018 0:00
Go Vacation,Switch,27/7/2018 0:00
Xenoblade Chronicles 2: New Quests Pack 4,Switch,26/7/2018 0:00
Captain Toad: Treasure Tracker,Switch,13/7/2018 0:00
Octopath Traveler,Switch,12/7/2018 0:00
Mario Tennis Aces,Switch,22/6/2018 0:00
Arcade Archives: Donkey Kong,Switch,14/6/2018 0:00
Splatoon 2: Octo Expansion,Switch,13/6/2018 0:00
Xenoblade Chronicles 2: Battle Challenge Mode Pack,Switch,13/6/2018 0:00
Sushi Striker: The Way of Sushido,Switch,8/6/2018 0:00
Pokemon Quest,Switch,29/5/2018 0:00
Xenoblade Chronicles 2: New Quests Pack 3,Switch,25/5/2018 0:00
Hyrule Warriors: Definitive Edition,Switch,18/5/2018 0:00
Donkey Kong Country: Tropical Freeze,Switch,4/5/2018 0:00
Nintendo Labo: Toycon 01 Variety Kit,Switch,20/4/2018 0:00
Nintendo Labo: Toycon 02 Robot Kit,Switch,20/4/2018 0:00
Arcade Archives: Punch-Out!,Switch,30/3/2018 0:00
Xenoblade Chronicles 2: New Quests Pack 2,Switch,30/3/2018 0:00
Kirby Star Allies,Switch,16/3/2018 0:00
Kirby Star Allies Demo,Switch,4/3/2018 0:00
Bayonetta + Bayonetta 2,Switch,16/2/2018 0:00
Bayonetta 2,Switch,16/2/2018 0:00
Bayonetta,Switch,16/2/2018 0:00
Fire Emblem Warriors: Shadow Dragon Pack,Switch,14/2/2018 0:00
Dragon Quest Builders,Switch,9/2/2018 0:00
Pokken Tournament DX: Battle Pack,Switch,31/1/2018 0:00
Xenoblade Chronicles 2: New Quests Pack 1,Switch,30/1/2018 0:00
Arcade Archives: Vs. Super Mario Bros.,Switch,22/12/2017 0:00
Fire Emblem Warriors: Fates Pack,Switch,21/12/2017 0:00
The Legend of Zelda: Breath of the Wild - The Champions' Ballad,Switch,7/12/2017 0:00
Xenoblade Chronicles 2,Switch,1/12/2017 0:00
Ittle Dew 2+,Switch,14/11/2017 0:00
"Snipperclips Plus: Cut It Out, Together!",Switch,10/11/2017 0:00
Super Mario Odyssey,Switch,27/10/2017 0:00
Fire Emblem Warriors,Switch,20/10/2017 0:00
Arcade Archives: Mario Bros.,Switch,27/9/2017 0:00
Dragon Ball: Xenoverse 2,Switch,22/9/2017 0:00
Pokken Tournament DX,Switch,22/9/2017 0:00
ARMS: Lola Pop,Switch,13/9/2017 0:00
Sine Mora EX,Switch,8/8/2017 0:00
Splatoon 2,Switch,21/7/2017 0:00
ARMS: Max Brass,Switch,12/7/2017 0:00
Flip Wars,Switch,6/7/2017 0:00
The Legend of Zelda: Breath of the Wild - The Master Trials,Switch,30/6/2017 0:00
ARMS,Switch,16/6/2017 0:00
ARMS: Global Testpunch,Switch,26/5/2017 0:00
Mario Kart 8 Deluxe,Switch,28/4/2017 0:00
Splatoon 2: Global Testfire,Switch,24/3/2017 0:00
The Legend of Zelda: Breath of the Wild,Switch,3/3/2017 0:00
1-2-Switch,Switch,3/3/2017 0:00
"Snipperclips - Cut it out, together!",Switch,3/3/2017 0:00
